伝票番号,購入日時,店舗,顧客ID,商品カテゴリ,商品名,単価,数量,合計購入金額,決済方法
INV-10953,2025-01-25,ECサイト,C-001,日用雑貨,抗菌洗剤セット,1108,5,5540,現金
INV-11839,2025-01-25,千葉店,C-195,日用雑貨,抗菌洗剤セット,1415,4,5660,電子マネー
INV-10495,2025-01-25,ECサイト,C-203,飲料・酒類,高級赤ワイン,1060,2,2120,クレジットカード
INV-11605,2025-01-25,横浜店,C-075,加工食品,特製ドレッシング,477,5,2385,電子マネー
INV-18627,2025-01-25,横浜店,C-009,飲料・酒類,高級赤ワイン,4002,5,20010,クレジットカード
INV-19752,2025-01-26,東京本店,C-058,生鮮食品,季節のフルーツ盛,2079,2,4158,クレジットカード
INV-11302,2025-01-26,千葉店,C-058,生鮮食品,朝採れ野菜セット,1455,1,1455,QR決済
INV-15485,2025-01-26,ECサイト,C-164,飲料・酒類,クラフトビール6缶パック,2606,2,5212,電子マネー
INV-15728,2025-01-26,さいたま店,C-114,日用雑貨,高機能マスク,897,1,897,QR決済
INV-11164,2025-01-26,横浜店,C-040,家庭用品,セラミックフライパン,6481,1,6481,現金
INV-16769,2025-01-26,さいたま店,C-052,日用雑貨,抗菌洗剤セット,1297,1,1297,QR決済
INV-11452,2025-01-26,千葉店,C-076,家庭用品,電動歯ブラシ,2343,1,2343,現金
INV-10876,2025-01-26,横浜店,C-193,飲料・酒類,クラフトビール6缶パック,4602,1,4602,QR決済
INV-18527,2025-01-26,千葉店,C-211,飲料・酒類,高級赤ワイン,2264,1,2264,クレジットカード
INV-14940,2025-01-26,横浜店,C-175,飲料・酒類,クラフトビール6缶パック,2026,1,2026,クレジットカード
INV-16300,2025-01-26,東京本店,C-196,飲料・酒類,クラフトビール6缶パック,3132,3,9396,QR決済
INV-19925,2025-01-26,横浜店,C-096,日用雑貨,抗菌洗剤セット,992,2,1984,現金
INV-18091,2025-01-26,東京本店,C-267,加工食品,レトルトカレー,609,1,609,現金
INV-16594,2025-01-26,ECサイト,C-294,家庭用品,LED電球,3859,1,3859,電子マネー
INV-13221,2025-01-26,ECサイト,C-300,飲料・酒類,高級赤ワイン,621,3,1863,QR決済
INV-14917,2025-01-26,さいたま店,C-113,飲料・酒類,ミネラルウォーター,1721,1,1721,QR決済
INV-14203,2025-01-26,さいたま店,C-273,加工食品,パスタソース,595,1,595,QR決済
INV-19037,2025-01-26,横浜店,C-178,飲料・酒類,ミネラルウォーター,1086,1,1086,QR決済
INV-12904,2025-01-26,さいたま店,C-218,加工食品,パスタソース,782,1,782,QR決済
INV-11825,2025-01-26,横浜店,C-276,加工食品,レトルトカレー,315,1,315,電子マネー
INV-13337,2025-01-26,ECサイト,C-271,生鮮食品,季節のフルーツ盛,1591,2,3182,電子マネー
INV-19066,2025-01-26,千葉店,C-048,飲料・酒類,高級赤ワイン,1121,4,4484,QR決済
INV-10768,2025-01-26,ECサイト,C-268,家庭用品,LED電球,6076,2,12152,現金
INV-16190,2025-01-26,さいたま店,C-017,加工食品,特製ドレッシング,326,1,326,クレジットカード
INV-16647,2025-01-26,東京本店,C-062,生鮮食品,国産牛サーロイン,2628,4,10512,クレジットカード
INV-11728,2025-01-26,千葉店,C-030,家庭用品,セラミックフライパン,4049,2,8098,電子マネー
INV-15299,2025-01-26,東京本店,C-129,生鮮食品,朝採れ野菜セット,2399,2,4798,QR決済
INV-13473,2025-01-26,横浜店,C-290,飲料・酒類,ミネラルウォーター,928,2,1856,現金
INV-13083,2025-01-26,東京本店,C-135,日用雑貨,抗菌洗剤セット,1087,4,4348,QR決済
INV-16364,2025-01-26,東京本店,C-007,生鮮食品,国産牛サーロイン,1557,4,6228,現金
INV-17790,2025-01-26,東京本店,C-109,日用雑貨,高機能マスク,574,1,574,電子マネー
INV-17037,2025-01-26,ECサイト,C-049,生鮮食品,国産牛サーロイン,2671,1,2671,QR決済
INV-16900,2025-01-26,横浜店,C-179,日用雑貨,抗菌洗剤セット,907,5,4535,QR決済
INV-13980,2025-01-26,東京本店,C-215,生鮮食品,国産牛サーロイン,2990,1,2990,電子マネー
INV-16267,2025-01-27,東京本店,C-218,生鮮食品,朝採れ野菜セット,2933,1,2933,電子マネー
INV-15860,2025-01-27,千葉店,C-211,日用雑貨,高機能マスク,786,2,1572,QR決済
INV-19078,2025-01-27,横浜店,C-267,生鮮食品,朝採れ野菜セット,2902,1,2902,QR決済
INV-18103,2025-01-27,さいたま店,C-248,飲料・酒類,ミネラルウォーター,1134,2,2268,QR決済
INV-17528,2025-01-27,横浜店,C-258,生鮮食品,朝採れ野菜セット,1228,1,1228,QR決済
INV-15685,2025-01-27,千葉店,C-179,生鮮食品,季節のフルーツ盛,1698,1,1698,現金
INV-17014,2025-01-27,横浜店,C-175,日用雑貨,キッチンペーパー,1142,5,5710,現金
INV-18546,2025-01-27,横浜店,C-161,家庭用品,セラミックフライパン,2871,3,8613,QR決済
INV-18486,2025-01-27,ECサイト,C-201,生鮮食品,季節のフルーツ盛,2122,4,8488,電子マネー
INV-10990,2025-01-27,横浜店,C-097,加工食品,パスタソース,795,1,795,電子マネー
INV-10452,2025-01-27,さいたま店,C-263,生鮮食品,国産牛サーロイン,2565,1,2565,QR決済
INV-19026,2025-01-27,横浜店,C-150,家庭用品,電動歯ブラシ,3356,1,3356,電子マネー
INV-14095,2025-01-27,さいたま店,C-052,加工食品,特製ドレッシング,578,1,578,電子マネー
INV-15096,2025-01-27,千葉店,C-101,日用雑貨,抗菌洗剤セット,1190,1,1190,QR決済
INV-18717,2025-01-27,さいたま店,C-157,生鮮食品,朝採れ野菜セット,1807,1,1807,現金
INV-19477,2025-01-27,横浜店,C-061,日用雑貨,抗菌洗剤セット,1069,1,1069,クレジットカード
INV-16861,2025-01-27,千葉店,C-279,飲料・酒類,ミネラルウォーター,3659,3,10977,電子マネー
INV-18694,2025-01-27,さいたま店,C-054,加工食品,レトルトカレー,313,5,1565,クレジットカード
INV-17229,2025-01-27,東京本店,C-138,飲料・酒類,ミネラルウォーター,1735,1,1735,電子マネー
INV-18737,2025-01-27,さいたま店,C-172,加工食品,レトルトカレー,510,1,510,電子マネー
INV-13319,2025-01-27,千葉店,C-111,家庭用品,電動歯ブラシ,6846,2,13692,QR決済
INV-11300,2025-01-27,さいたま店,C-300,家庭用品,セラミックフライパン,2339,1,2339,クレジットカード
INV-13997,2025-01-27,さいたま店,C-035,加工食品,パスタソース,667,2,1334,現金
INV-10341,2025-01-27,横浜店,C-054,日用雑貨,抗菌洗剤セット,803,1,803,クレジットカード
INV-15154,2025-01-27,さいたま店,C-114,日用雑貨,抗菌洗剤セット,699,4,2796,クレジットカード
INV-13440,2025-01-27,千葉店,C-293,家庭用品,セラミックフライパン,2152,5,10760,現金
INV-10069,2025-01-27,さいたま店,C-090,家庭用品,セラミックフライパン,7000,1,7000,クレジットカード
INV-19386,2025-01-27,千葉店,C-071,日用雑貨,抗菌洗剤セット,1310,1,1310,QR決済
INV-19696,2025-01-27,東京本店,C-241,生鮮食品,季節のフルーツ盛,2700,1,2700,現金
INV-16082,2025-01-27,東京本店,C-117,飲料・酒類,高級赤ワイン,1481,2,2962,電子マネー
INV-18294,2025-01-28,横浜店,C-300,加工食品,レトルトカレー,301,1,301,クレジットカード
INV-10086,2025-01-28,横浜店,C-081,家庭用品,セラミックフライパン,7717,1,7717,現金
INV-13102,2025-01-28,東京本店,C-044,家庭用品,セラミックフライパン,3900,5,19500,クレジットカード
INV-13415,2025-01-28,千葉店,C-101,飲料・酒類,クラフトビール6缶パック,3429,1,3429,クレジットカード
INV-13874,2025-01-28,東京本店,C-028,飲料・酒類,クラフトビール6缶パック,3755,1,3755,クレジットカード
INV-12696,2025-01-28,ECサイト,C-137,生鮮食品,季節のフルーツ盛,1372,3,4116,クレジットカード
INV-17181,2025-01-28,さいたま店,C-099,生鮮食品,国産牛サーロイン,1441,2,2882,現金
INV-18731,2025-01-28,千葉店,C-113,飲料・酒類,クラフトビール6缶パック,3501,2,7002,電子マネー
INV-19154,2025-01-28,千葉店,C-036,生鮮食品,朝採れ野菜セット,1666,1,1666,クレジットカード
INV-14567,2025-01-28,東京本店,C-037,生鮮食品,朝採れ野菜セット,2140,1,2140,電子マネー
INV-12645,2025-01-28,横浜店,C-215,生鮮食品,季節のフルーツ盛,1668,1,1668,クレジットカード
INV-10993,2025-01-28,横浜店,C-113,生鮮食品,国産牛サーロイン,2727,1,2727,現金
INV-10916,2025-01-28,東京本店,C-106,飲料・酒類,ミネラルウォーター,1478,2,2956,クレジットカード
INV-17075,2025-01-28,さいたま店,C-130,家庭用品,LED電球,4289,1,4289,クレジットカード
INV-13471,2025-01-28,東京本店,C-053,生鮮食品,国産牛サーロイン,2961,1,2961,電子マネー
INV-14339,2025-01-28,千葉店,C-270,家庭用品,セラミックフライパン,5648,2,11296,QR決済
INV-12309,2025-01-28,千葉店,C-205,飲料・酒類,クラフトビール6缶パック,1731,1,1731,現金
INV-16452,2025-01-28,横浜店,C-107,家庭用品,セラミックフライパン,4859,1,4859,現金
INV-12547,2025-01-28,東京本店,C-122,日用雑貨,抗菌洗剤セット,1315,3,3945,QR決済
INV-17472,2025-01-28,ECサイト,C-280,日用雑貨,キッチンペーパー,808,1,808,現金
INV-10645,2025-01-28,ECサイト,C-060,生鮮食品,朝採れ野菜セット,2342,1,2342,電子マネー
INV-13853,2025-01-28,さいたま店,C-276,日用雑貨,抗菌洗剤セット,1317,3,3951,QR決済
INV-11052,2025-01-28,横浜店,C-222,加工食品,特製ドレッシング,778,2,1556,QR決済
INV-10160,2025-01-28,さいたま店,C-300,日用雑貨,抗菌洗剤セット,549,1,549,クレジットカード
INV-10741,2025-01-28,さいたま店,C-077,加工食品,特製ドレッシング,688,1,688,QR決済
INV-11074,2025-01-28,ECサイト,C-038,日用雑貨,抗菌洗剤セット,1106,1,1106,クレジットカード
INV-18531,2025-01-29,ECサイト,C-208,加工食品,特製ドレッシング,392,1,392,クレジットカード
INV-19169,2025-01-29,東京本店,C-085,生鮮食品,国産牛サーロイン,2961,3,8883,現金
INV-14056,2025-01-29,東京本店,C-043,日用雑貨,キッチンペーパー,597,1,597,QR決済
INV-19901,2025-01-29,ECサイト,C-264,家庭用品,LED電球,4038,2,8076,QR決済
INV-14277,2025-01-29,千葉店,C-007,生鮮食品,季節のフルーツ盛,1805,2,3610,電子マネー
INV-14198,2025-01-29,さいたま店,C-160,日用雑貨,高機能マスク,1126,2,2252,電子マネー
INV-10380,2025-01-29,さいたま店,C-277,日用雑貨,キッチンペーパー,1061,2,2122,電子マネー
INV-14630,2025-01-29,東京本店,C-279,飲料・酒類,ミネラルウォーター,3868,1,3868,クレジットカード
INV-12139,2025-01-29,横浜店,C-060,家庭用品,セラミックフライパン,5073,3,15219,現金
INV-17068,2025-01-29,横浜店,C-102,生鮮食品,朝採れ野菜セット,2428,1,2428,QR決済
INV-10769,2025-01-29,千葉店,C-024,加工食品,パスタソース,505,1,505,クレジットカード
INV-15123,2025-01-29,ECサイト,C-092,加工食品,パスタソース,391,2,782,クレジットカード
INV-10748,2025-01-29,千葉店,C-122,加工食品,パスタソース,569,1,569,電子マネー
INV-17736,2025-01-29,東京本店,C-207,加工食品,特製ドレッシング,754,5,3770,電子マネー
INV-10915,2025-01-29,千葉店,C-029,日用雑貨,キッチンペーパー,422,2,844,現金
INV-14322,2025-01-29,横浜店,C-103,日用雑貨,高機能マスク,1281,1,1281,クレジットカード
INV-15115,2025-01-29,横浜店,C-214,加工食品,特製ドレッシング,450,1,450,クレジットカード
INV-15492,2025-01-29,横浜店,C-015,家庭用品,LED電球,2269,1,2269,QR決済
INV-18321,2025-01-29,ECサイト,C-104,家庭用品,セラミックフライパン,5659,1,5659,クレジットカード
INV-19464,2025-01-29,東京本店,C-257,加工食品,レトルトカレー,525,3,1575,電子マネー
INV-18708,2025-01-29,横浜店,C-034,家庭用品,LED電球,7094,2,14188,クレジットカード
INV-16185,2025-01-29,ECサイト,C-002,加工食品,特製ドレッシング,639,1,639,クレジットカード
INV-19851,2025-01-29,ECサイト,C-297,日用雑貨,高機能マスク,584,1,584,電子マネー
INV-16478,2025-01-30,ECサイト,C-108,加工食品,レトルトカレー,334,1,334,QR決済
INV-14471,2025-01-30,東京本店,C-208,日用雑貨,キッチンペーパー,1238,2,2476,現金
INV-19661,2025-01-30,さいたま店,C-100,日用雑貨,キッチンペーパー,1221,1,1221,現金
INV-16159,2025-01-30,東京本店,C-218,飲料・酒類,ミネラルウォーター,1303,1,1303,電子マネー
INV-18567,2025-01-30,横浜店,C-044,家庭用品,電動歯ブラシ,6946,5,34730,QR決済
INV-13830,2025-01-30,ECサイト,C-250,加工食品,パスタソース,771,1,771,電子マネー
INV-15481,2025-01-30,ECサイト,C-122,加工食品,レトルトカレー,521,1,521,クレジットカード
INV-11668,2025-01-30,横浜店,C-143,生鮮食品,国産牛サーロイン,1949,1,1949,現金
INV-19631,2025-01-30,横浜店,C-189,飲料・酒類,高級赤ワイン,3049,1,3049,電子マネー
INV-10481,2025-01-30,千葉店,C-098,家庭用品,LED電球,7047,1,7047,現金
INV-15287,2025-01-30,さいたま店,C-006,加工食品,パスタソース,515,1,515,電子マネー
INV-17363,2025-01-30,東京本店,C-163,生鮮食品,季節のフルーツ盛,1284,1,1284,現金
INV-18274,2025-01-30,ECサイト,C-187,家庭用品,セラミックフライパン,7717,1,7717,クレジットカード
INV-19635,2025-01-30,ECサイト,C-237,飲料・酒類,クラフトビール6缶パック,1396,1,1396,現金
INV-13360,2025-01-30,横浜店,C-086,日用雑貨,高機能マスク,1027,1,1027,QR決済
INV-17696,2025-01-30,東京本店,C-196,加工食品,パスタソース,684,4,2736,現金
INV-12905,2025-01-30,東京本店,C-178,日用雑貨,キッチンペーパー,873,1,873,クレジットカード
INV-12706,2025-01-30,さいたま店,C-089,日用雑貨,高機能マスク,584,2,1168,現金
INV-10154,2025-01-30,横浜店,C-018,日用雑貨,高機能マスク,469,1,469,現金
INV-14349,2025-01-30,横浜店,C-156,加工食品,特製ドレッシング,342,1,342,電子マネー
INV-15645,2025-01-30,ECサイト,C-213,生鮮食品,朝採れ野菜セット,2343,1,2343,QR決済
INV-13104,2025-01-30,ECサイト,C-134,日用雑貨,キッチンペーパー,618,5,3090,QR決済
INV-11453,2025-01-30,横浜店,C-182,加工食品,特製ドレッシング,492,1,492,現金
INV-18062,2025-01-30,千葉店,C-028,生鮮食品,国産牛サーロイン,2344,1,2344,電子マネー
INV-14270,2025-01-30,横浜店,C-014,日用雑貨,抗菌洗剤セット,1234,5,6170,QR決済
INV-11894,2025-01-30,東京本店,C-189,飲料・酒類,高級赤ワイン,790,4,3160,電子マネー
INV-11927,2025-01-30,横浜店,C-051,加工食品,パスタソース,651,1,651,電子マネー
INV-16974,2025-01-30,東京本店,C-167,加工食品,特製ドレッシング,695,4,2780,クレジットカード
INV-17988,2025-01-30,ECサイト,C-185,日用雑貨,キッチンペーパー,1329,4,5316,QR決済
INV-11972,2025-01-30,さいたま店,C-115,生鮮食品,国産牛サーロイン,2980,1,2980,QR決済
INV-18897,2025-01-31,千葉店,C-270,家庭用品,電動歯ブラシ,3217,5,16085,QR決済
INV-12265,2025-01-31,横浜店,C-296,家庭用品,電動歯ブラシ,5499,3,16497,クレジットカード
INV-16635,2025-01-31,さいたま店,C-258,家庭用品,セラミックフライパン,3729,1,3729,電子マネー
INV-13090,2025-01-31,東京本店,C-051,日用雑貨,キッチンペーパー,1199,5,5995,クレジットカード
INV-19470,2025-01-31,ECサイト,C-214,加工食品,特製ドレッシング,718,1,718,電子マネー
INV-16600,2025-01-31,横浜店,C-063,日用雑貨,キッチンペーパー,1099,3,3297,クレジットカード
INV-13862,2025-01-31,さいたま店,C-195,生鮮食品,季節のフルーツ盛,2730,1,2730,QR決済
INV-16054,2025-01-31,さいたま店,C-052,生鮮食品,季節のフルーツ盛,2312,5,11560,現金
INV-14717,2025-01-31,東京本店,C-084,家庭用品,LED電球,6939,1,6939,現金
INV-19678,2025-01-31,ECサイト,C-017,飲料・酒類,高級赤ワイン,2552,1,2552,QR決済
INV-11042,2025-01-31,横浜店,C-221,日用雑貨,高機能マスク,769,1,769,QR決済
INV-18828,2025-01-31,東京本店,C-156,家庭用品,LED電球,7834,1,7834,現金
INV-10251,2025-01-31,ECサイト,C-037,家庭用品,電動歯ブラシ,2627,2,5254,QR決済
INV-18558,2025-01-31,千葉店,C-200,加工食品,レトルトカレー,423,5,2115,現金
INV-17894,2025-01-31,千葉店,C-170,飲料・酒類,ミネラルウォーター,2681,2,5362,現金
INV-16369,2025-01-31,横浜店,C-031,加工食品,パスタソース,672,1,672,クレジットカード
INV-11322,2025-01-31,東京本店,C-215,日用雑貨,抗菌洗剤セット,657,1,657,QR決済
INV-19329,2025-01-31,横浜店,C-077,飲料・酒類,ミネラルウォーター,763,1,763,クレジットカード
INV-18442,2025-01-31,東京本店,C-177,飲料・酒類,ミネラルウォーター,2457,1,2457,QR決済
INV-18789,2025-01-31,千葉店,C-197,家庭用品,LED電球,6410,2,12820,クレジットカード
INV-13094,2025-01-31,横浜店,C-040,家庭用品,電動歯ブラシ,2409,1,2409,クレジットカード
INV-18841,2025-02-01,千葉店,C-192,加工食品,パスタソース,606,4,2424,現金
INV-17691,2025-02-01,ECサイト,C-147,加工食品,特製ドレッシング,365,1,365,電子マネー
INV-15533,2025-02-01,千葉店,C-126,加工食品,レトルトカレー,650,1,650,QR決済
INV-11067,2025-02-01,ECサイト,C-118,加工食品,レトルトカレー,435,1,435,クレジットカード
INV-12286,2025-02-01,千葉店,C-078,飲料・酒類,高級赤ワイン,1785,2,3570,クレジットカード
INV-18088,2025-02-01,ECサイト,C-035,日用雑貨,抗菌洗剤セット,1112,1,1112,クレジットカード
INV-12029,2025-02-01,千葉店,C-184,日用雑貨,高機能マスク,942,1,942,電子マネー
INV-10764,2025-02-01,東京本店,C-295,生鮮食品,朝採れ野菜セット,2500,4,10000,電子マネー
INV-10801,2025-02-01,横浜店,C-223,生鮮食品,季節のフルーツ盛,2901,3,8703,現金
INV-12191,2025-02-01,東京本店,C-185,生鮮食品,季節のフルーツ盛,2160,1,2160,電子マネー
INV-10101,2025-02-01,ECサイト,C-029,飲料・酒類,クラフトビール6缶パック,2089,2,4178,現金
INV-17269,2025-02-01,ECサイト,C-089,飲料・酒類,クラフトビール6缶パック,2452,1,2452,クレジットカード
INV-13736,2025-02-01,千葉店,C-073,家庭用品,セラミックフライパン,4186,1,4186,QR決済
INV-13185,2025-02-01,ECサイト,C-246,日用雑貨,高機能マスク,489,2,978,QR決済
INV-17819,2025-02-01,横浜店,C-268,加工食品,パスタソース,723,3,2169,電子マネー
INV-19137,2025-02-01,横浜店,C-131,飲料・酒類,高級赤ワイン,4139,1,4139,電子マネー
INV-13002,2025-02-01,さいたま店,C-146,加工食品,レトルトカレー,729,1,729,現金
INV-18151,2025-02-01,ECサイト,C-198,家庭用品,セラミックフライパン,3216,4,12864,電子マネー
INV-15506,2025-02-01,千葉店,C-011,飲料・酒類,高級赤ワイン,3564,1,3564,QR決済
INV-11830,2025-02-01,ECサイト,C-288,加工食品,パスタソース,762,5,3810,クレジットカード
INV-15336,2025-02-01,さいたま店,C-124,飲料・酒類,高級赤ワイン,2210,1,2210,クレジットカード
INV-12900,2025-02-01,横浜店,C-268,生鮮食品,朝採れ野菜セット,2580,1,2580,電子マネー
INV-19421,2025-02-01,ECサイト,C-135,家庭用品,LED電球,4534,1,4534,現金
INV-12662,2025-02-01,ECサイト,C-009,日用雑貨,抗菌洗剤セット,1112,3,3336,現金
INV-14808,2025-02-01,千葉店,C-103,生鮮食品,国産牛サーロイン,2972,1,2972,QR決済
INV-15038,2025-02-01,東京本店,C-031,加工食品,パスタソース,553,1,553,電子マネー
INV-14000,2025-02-01,横浜店,C-168,家庭用品,電動歯ブラシ,7856,5,39280,電子マネー
INV-19946,2025-02-01,千葉店,C-294,家庭用品,セラミックフライパン,2515,1,2515,クレジットカード
INV-12373,2025-02-01,東京本店,C-225,家庭用品,LED電球,3854,5,19270,QR決済
INV-13770,2025-02-01,東京本店,C-147,加工食品,特製ドレッシング,407,3,1221,クレジットカード
INV-10371,2025-02-01,横浜店,C-097,生鮮食品,季節のフルーツ盛,2654,1,2654,現金
INV-12809,2025-02-01,さいたま店,C-098,日用雑貨,抗菌洗剤セット,1045,3,3135,電子マネー
INV-15507,2025-02-02,さいたま店,C-047,加工食品,パスタソース,633,1,633,現金
INV-18635,2025-02-02,ECサイト,C-276,日用雑貨,抗菌洗剤セット,1387,1,1387,電子マネー
INV-17516,2025-02-02,東京本店,C-127,日用雑貨,抗菌洗剤セット,663,3,1989,現金
INV-19839,2025-02-02,東京本店,C-004,家庭用品,セラミックフライパン,4351,1,4351,電子マネー
INV-10008,2025-02-02,東京本店,C-245,加工食品,レトルトカレー,525,1,525,クレジットカード
INV-10399,2025-02-02,横浜店,C-192,日用雑貨,抗菌洗剤セット,1152,4,4608,クレジットカード
INV-18624,2025-02-02,千葉店,C-062,生鮮食品,季節のフルーツ盛,2607,1,2607,電子マネー
INV-12240,2025-02-02,さいたま店,C-204,生鮮食品,季節のフルーツ盛,2924,1,2924,QR決済
INV-18979,2025-02-02,さいたま店,C-285,飲料・酒類,ミネラルウォーター,4490,2,8980,クレジットカード
INV-10543,2025-02-02,横浜店,C-105,生鮮食品,国産牛サーロイン,2223,1,2223,QR決済
INV-12895,2025-02-02,東京本店,C-210,家庭用品,電動歯ブラシ,4670,2,9340,現金
INV-10966,2025-02-02,横浜店,C-059,家庭用品,電動歯ブラシ,5753,1,5753,電子マネー
INV-17618,2025-02-02,ECサイト,C-217,家庭用品,セラミックフライパン,2418,1,2418,電子マネー
INV-12434,2025-02-02,ECサイト,C-133,日用雑貨,抗菌洗剤セット,677,2,1354,クレジットカード
INV-18642,2025-02-02,ECサイト,C-076,飲料・酒類,高級赤ワイン,3807,3,11421,クレジットカード
INV-14456,2025-02-02,千葉店,C-025,飲料・酒類,クラフトビール6缶パック,3587,1,3587,現金
INV-12542,2025-02-02,東京本店,C-272,家庭用品,LED電球,4743,5,23715,QR決済
INV-12934,2025-02-02,横浜店,C-062,家庭用品,セラミックフライパン,3861,1,3861,クレジットカード
INV-17759,2025-02-02,ECサイト,C-264,生鮮食品,季節のフルーツ盛,1275,3,3825,クレジットカード
INV-14796,2025-02-02,横浜店,C-246,家庭用品,電動歯ブラシ,6252,1,6252,電子マネー
INV-10781,2025-02-02,東京本店,C-271,飲料・酒類,ミネラルウォーター,2219,1,2219,QR決済
INV-11107,2025-02-02,東京本店,C-289,日用雑貨,抗菌洗剤セット,530,1,530,クレジットカード
INV-18444,2025-02-02,ECサイト,C-083,飲料・酒類,高級赤ワイン,4889,1,4889,電子マネー
INV-13193,2025-02-02,さいたま店,C-079,飲料・酒類,ミネラルウォーター,3288,2,6576,クレジットカード
INV-17223,2025-02-02,ECサイト,C-077,家庭用品,セラミックフライパン,6728,1,6728,クレジットカード
INV-18602,2025-02-02,横浜店,C-258,家庭用品,電動歯ブラシ,7164,1,7164,現金
INV-19198,2025-02-02,ECサイト,C-199,加工食品,レトルトカレー,507,1,507,現金
INV-11790,2025-02-02,さいたま店,C-116,家庭用品,セラミックフライパン,3463,1,3463,QR決済
INV-19229,2025-02-02,千葉店,C-229,日用雑貨,キッチンペーパー,606,1,606,電子マネー
INV-15157,2025-02-02,ECサイト,C-024,家庭用品,セラミックフライパン,5085,1,5085,現金
INV-13316,2025-02-02,ECサイト,C-108,生鮮食品,国産牛サーロイン,1936,1,1936,QR決済
INV-15693,2025-02-03,横浜店,C-133,家庭用品,セラミックフライパン,4470,1,4470,クレジットカード
INV-19604,2025-02-03,東京本店,C-229,生鮮食品,季節のフルーツ盛,2736,1,2736,電子マネー
INV-15389,2025-02-03,横浜店,C-059,加工食品,特製ドレッシング,561,1,561,電子マネー
INV-19217,2025-02-03,さいたま店,C-201,家庭用品,セラミックフライパン,5631,1,5631,電子マネー
INV-16275,2025-02-03,ECサイト,C-050,家庭用品,LED電球,2039,2,4078,現金
INV-13640,2025-02-03,ECサイト,C-114,加工食品,特製ドレッシング,599,1,599,現金
INV-14232,2025-02-03,ECサイト,C-123,家庭用品,電動歯ブラシ,6994,1,6994,現金
INV-17428,2025-02-03,東京本店,C-271,家庭用品,セラミックフライパン,2830,1,2830,現金
INV-13616,2025-02-03,千葉店,C-025,日用雑貨,キッチンペーパー,465,1,465,電子マネー
INV-12928,2025-02-03,東京本店,C-183,家庭用品,セラミックフライパン,6645,5,33225,現金
INV-12689,2025-02-03,さいたま店,C-262,飲料・酒類,クラフトビール6缶パック,3198,3,9594,QR決済
INV-11785,2025-02-03,横浜店,C-209,加工食品,レトルトカレー,671,1,671,電子マネー
INV-16550,2025-02-03,千葉店,C-081,飲料・酒類,クラフトビール6缶パック,2097,1,2097,電子マネー
INV-14826,2025-02-03,千葉店,C-137,飲料・酒類,高級赤ワイン,3208,2,6416,電子マネー
INV-15423,2025-02-03,東京本店,C-022,生鮮食品,国産牛サーロイン,2122,1,2122,現金
INV-11463,2025-02-03,さいたま店,C-064,飲料・酒類,ミネラルウォーター,4319,1,4319,QR決済
INV-19762,2025-02-03,横浜店,C-160,日用雑貨,キッチンペーパー,680,3,2040,電子マネー
INV-18426,2025-02-03,東京本店,C-232,飲料・酒類,クラフトビール6缶パック,1031,1,1031,現金
INV-10639,2025-02-03,横浜店,C-149,飲料・酒類,高級赤ワイン,809,1,809,現金
INV-14030,2025-02-03,千葉店,C-101,家庭用品,LED電球,5525,3,16575,電子マネー
INV-10466,2025-02-04,東京本店,C-039,日用雑貨,抗菌洗剤セット,444,1,444,QR決済
INV-18435,2025-02-04,横浜店,C-093,生鮮食品,朝採れ野菜セット,1327,2,2654,QR決済
INV-17745,2025-02-04,横浜店,C-150,日用雑貨,抗菌洗剤セット,1076,1,1076,電子マネー
INV-13011,2025-02-04,さいたま店,C-224,加工食品,パスタソース,489,1,489,電子マネー
INV-19324,2025-02-04,東京本店,C-227,日用雑貨,高機能マスク,1328,5,6640,クレジットカード
INV-19842,2025-02-04,さいたま店,C-274,飲料・酒類,ミネラルウォーター,698,2,1396,現金
INV-11620,2025-02-04,ECサイト,C-065,加工食品,特製ドレッシング,748,4,2992,QR決済
INV-12749,2025-02-04,東京本店,C-126,加工食品,パスタソース,611,1,611,クレジットカード
INV-17033,2025-02-04,東京本店,C-235,日用雑貨,キッチンペーパー,686,1,686,電子マネー
INV-16224,2025-02-04,横浜店,C-108,飲料・酒類,クラフトビール6缶パック,2997,2,5994,クレジットカード
INV-17636,2025-02-04,千葉店,C-205,生鮮食品,季節のフルーツ盛,2029,2,4058,QR決済
INV-11174,2025-02-04,さいたま店,C-039,加工食品,レトルトカレー,345,1,345,電子マネー
INV-12108,2025-02-04,千葉店,C-140,生鮮食品,朝採れ野菜セット,2838,3,8514,クレジットカード
INV-19418,2025-02-04,横浜店,C-114,生鮮食品,季節のフルーツ盛,2715,1,2715,QR決済
INV-13963,2025-02-04,千葉店,C-197,飲料・酒類,ミネラルウォーター,532,1,532,クレジットカード
INV-13942,2025-02-04,横浜店,C-143,日用雑貨,高機能マスク,1205,1,1205,電子マネー
INV-19430,2025-02-04,さいたま店,C-068,飲料・酒類,ミネラルウォーター,1606,1,1606,電子マネー
INV-14026,2025-02-04,千葉店,C-176,生鮮食品,朝採れ野菜セット,2817,3,8451,QR決済
INV-13712,2025-02-04,さいたま店,C-185,日用雑貨,キッチンペーパー,702,1,702,クレジットカード
INV-16495,2025-02-04,東京本店,C-217,生鮮食品,国産牛サーロイン,1918,2,3836,電子マネー
INV-12560,2025-02-04,東京本店,C-287,生鮮食品,国産牛サーロイン,1456,2,2912,QR決済
